Absolute Unit (2),Absolute Unit (4),The Alchemist,Chain Magic (2),Chain Magic (3),The Craftsman,Double Tap (2),Double Tap (3),Drakan's Touch (2),Drakan's Touch (4),Endless Knowledge,Fast Metabolism,Greedy Gatherer (3),Greedy Gatherer (4),Knife's Edge (2),Knife's Edge (4),Last Recall,Personal Banker (2),Personal Banker (4),Trailblazer,Twin Strikes (2),Twin Strikes (3),Unchained Talent
2,4,4,2,3,4,2,3,2,4,4,3,3,4,2,4,5,2,4,3,2,3,3
Dragon On A Bit,Dragon On A Bit,Golden Brick Road,Thrall Damage,Thrall Damage,Rumple-Bow-String,Smithing Double,Smithing Double,Unholy Wizard,Unholy Wizard,Arcane Conduit,Grave Robber,Message In A Bottle,Message In A Bottle,Barbarian Pest Wars,Barbarian Pest Wars,Enchanted Jeweler,Smithing Double,Smithing Double,Arcane Conduit,Barbarian Pest Wars,Barbarian Pest Wars,Plank Stretcher
Rune Escape,Rune Escape,Dine & Dash,Unholy Wizard,Unholy Wizard,Dragon On A Bit,Rumple-Bow-String,Rumple-Bow-String,Zamorakian Sight,Zamorakian Sight,Thrall Damage,Rock Solid,Molten Miner,Molten Miner,Message In A Bottle,Message In A Bottle,Rune Escape,Alchemaniac,Alchemaniac,Golden Brick Road,Slay 'n' Pay,Slay 'n' Pay,Rogues' Chompy Farm
Superior Tracking,Superior Tracking,Slay All Day,Zamorakian Sight,Zamorakian Sight,Imcando's Apprentice,Rogues' Chompy Farm,Rogues' Chompy Farm,Clued In,Clued In,Enchanted Jeweler,Bandosian Might,Rock Solid,Rock Solid,Slay All Day,Slay All Day,Clued In,Molten Miner,Molten Miner,Bottomless Quiver,Divine Restoration,Divine Restoration,Dine & Dash
Armadylean Decree,Armadylean Decree,Certified Farmer,Mother's Magic Fossils,Mother's Magic Fossils,Grave Robber,Unholy Ranger,Unholy Ranger,Unholy Ranger,Unholy Ranger,Alchemaniac,Larger Recharger,Certified Farmer,Certified Farmer,Bottomless Quiver,Bottomless Quiver,Slay 'n' Pay,Seedy Business,Seedy Business,Seedy Business,Livin' On A Prayer,Livin' On A Prayer,Catch Of The Day
Divine Restoration,Divine Restoration,Homewrecker,Deeper Pockets,Deeper Pockets,Profletchional,Armadylean Decree,Armadylean Decree,Praying Respects,Praying Respects,Plank Stretcher,Hot On The Trail,Chef's Catch,Chef's Catch,Livin' On A Prayer,Livin' On A Prayer,Superior Tracking,Catch Of The Day,Catch Of The Day,Chef's Catch,Tactical Duelist,Tactical Duelist,Slash & Burn
Tactical Duelist,Tactical Duelist,Mixologist,Rooty Tooty 2x Runeys,Rooty Tooty 2x Runeys,Pro Tips,Chinchonkers,Chinchonkers,Larger Recharger,Larger Recharger,Mother's Magic Fossils,Venomaster,Slash & Burn,Slash & Burn,Praying Respects,Praying Respects,Chinchonkers,Deeper Pockets,Deeper Pockets,Smooth Criminal,Bandosian Might,Bandosian Might,Mixologist
Saradominist Defence,Saradominist Defence,Just Druid!,Hot On The Trail,Hot On The Trail,,Pro Tips,Pro Tips,Special Discount,Special Discount,,,Just Druid!,Just Druid!,Unholy Warrior,Unholy Warrior,Homewrecker,,,Unholy Warrior,Special Discount,Special Discount,
Venomaster,Venomaster,,Imcando's Apprentice,Imcando's Apprentice,,,,,,,,,,Saradominist Defence,Saradominist Defence,Profletchional,,,,,,
,,,,,,,,,,,,,,,,Rooty Tooty 2x Runeys,,,,,,
,,,,,,,,,,,,,,,,Smooth Criminal,,,,,,
